검색조건
대출기간,2020-01-01 ~ 2020-01-30
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2020-01-30
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"190","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","45","9791162339909","77400","400","596",
"192","1일 1짠 돈 습관 :밥 먹듯 저축하는 '작은 부자'들의 재테크 생활 ","다음짠돌이 카페 슈퍼짠 12인,완소남김머찐님 지음","한경BP","2019","","9788947544986","03320","327.04","594",
"193","빨강머리 앤이 하는 말 :백영옥 에세이 ","지은이: 백영옥","arte(아르테)","2016","","9788950965693","03810","814.7","592",
"193","(설민석의) 무도 한국사 특강 ","설민석 지음","문학동네","2014","","9788954623773","03910","911","592",
"195","정의란 무엇인가 ","저자: 마이클 샌델 ;역자: 이창신","김영사","2010","","9788934939603","03330","193","590",
"196","아주 무서운 날 ","탕무니우 글·그림 ;홍연숙 옮김","찰리북","2014","","9788994368269","77820","823.7","588",
"197","책 먹는 여우","프란치스카 비어만 지음;김경연 옮김","김영사","2001","","9788934908067","73850","853","587",
"197","레몬 :권여선 장편소설 ","지은이: 권여선","창비","2019","","9788936434366","03810","813.7","587",
"197","(지적이고 아름다운 삶을 위한) 라틴어 수업 ","한동일 지음","흐름출판","2017","","9788965962205","03100","792.2","587",
"197","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ","팀 페리스 지음 ;정지현 옮김","Tornado(토네이도)","2017","","9791158510619","03190","325.211","587",
